variable,CFUs
P56_3,1.91E+09
P56_4,1.19E+08
P56_5,8.55E+08
P57_1,1.58E+09
P57_2,1.80E+09
P57_3,1.50E+09
P57_4,1.09E+09
P57_5,1.11E+09
P58_1,2.50E+09
P58_2,1.90E+08
P58_3,5.30E+09
P58_4,4.10E+09
P58_5,1.35E+09
P59_1,2.40E+09
P59_2,2.55E+09
P59_3,4.75E+09
P59_4,1.23E+09
P59_5,4.15E+09
P60_1,2.85E+09
P60_2,3.25E+09
P60_3,4.30E+09
P60_4,2.55E+09
P60_5,6.95E+08
P61_1,3.45E+09
P61_2,3.05E+09
P61_3,3.10E+08
P61_4,1.55E+09
P61_5,1.00E+09
P62_1,3.15E+09
P62_2,9.45E+08
P62_3,9.90E+08
P62_4,2.30E+09
P62_5,1.45E+09
P63_1,2.10E+09
P63_2,1.25E+09
P63_3,1.05E+09
P63_4,1.44E+09
P63_5,6.85E+08
P64_1,8.00E+08
P64_2,2.30E+09
P64_3,1.43E+10
P64_4,7.30E+08
P64_5,1.95E+09
P65_1,4.05E+09
P65_2,4.00E+09
P65_3,3.70E+09
P65_4,5.15E+09
P65_5,2.40E+09
P66_1,1.85E+09
P66_2,3.90E+09
P66_3,2.80E+09
P66_4,2.90E+09
P66_5,5.20E+09
P67_1,1.25E+09
P67_2,2.75E+09
P67_3,1.32E+09
P67_4,2.15E+09
P67_5,3.90E+08
P68_1,1.21E+09
P68_2,4.80E+08
P68_3,2.40E+09
P68_4,1.05E+08
P69_1,2.11E+09
P69_2,1.91E+09
P69_3,1.15E+09
P69_4,4.00E+08
P69_5,1.50E+09
P70_1,5.65E+08
P70_2,2.95E+09
P70_3,2.40E+09
P70_4,2.75E+09
P70_5,6.45E+08
P71_1,4.10E+09
P71_2,2.65E+09
P71_3,1.27E+09
P71_4,1.27E+09
P72_1,1.03E+09
P72_2,1.69E+09
P72_3,1.19E+09
P72_4,1.42E+09
P72_5,2.50E+09
P73_1,1.52E+09
P73_2,1.84E+09
P73_3,8.70E+08
P73_4,1.09E+09
P73_5,2.70E+09
P74_1,1.95E+09
P74_2,4.25E+09
P74_4,2.10E+09
P74_5,2.07E+09
P75_1,1.12E+09
P75_2,9.15E+07
P75_3,3.10E+09
P75_4,1.46E+09
P76_1,8.35E+08
P76_2,3.20E+09
P76_3,1.17E+09
P76_4,1.89E+09
P76_5,1.52E+09
P77_1,3.05E+09
P77_2,1.20E+09
P77_3,2.55E+09
P77_4,2.50E+09
P77_5,1.65E+09
P78_1,6.95E+08
P78_2,8.75E+08
P78_3,7.50E+09
P78_4,4.70E+09
P78_5,5.50E+09
