Strain	P10_1_44_S1_L001_B8F_B4R_	P10_2_45_S1_L001_B9F_B4R_	P10_3_46_S1_L001_B10F_B4R_	P10_4_47_S1_L001_B11F_B4R_	P10_5_48_S1_L001_B12F_B4R_	P11_1_49_S1_L001_B1F_B5R_	P11_2_50_S1_L001_B2F_B5R_	P11_3_51_S1_L001_B3F_B5R_	P11_4_52_S1_L001_B4F_B5R_	P11_5_53_S1_L001_B5F_B5R_	P12_1_54_S1_L001_B6F_B5R_	P12_2_55_S1_L001_B7F_B5R_	P12_3_56_S1_L001_B8F_B5R_	P12_4_57_S1_L001_B9F_B5R_	P12_5_58_S1_L001_B10F_B5R_	P13_1_59_S1_L001_B11F_B5R_	P13_2_60_S1_L001_B12F_B5R_	P13_3_61_S1_L001_B1F_B6R_	P13_4_62_S1_L001_B2F_B6R_	P13_5_63_S1_L001_B3F_B6R_	P14_1_64_S1_L001_B4F_B6R_	P14_2_65_S1_L001_B5F_B6R_	P14_3_66_S1_L001_B6F_B6R_	P14_4_67_S1_L001_B7F_B6R_	P14_5_68_S1_L001_B8F_B6R_	P15_1_69_S1_L001_B9F_B6R_	P15_2_70_S1_L001_B10F_B6R_	P15_3_71_S1_L001_B11F_B6R_	P15_4_72_S1_L001_B12F_B6R_	P15_5_73_S1_L001_B1F_B7R_	P16_1_74_S1_L001_B2F_B7R_	P16_2_75_S1_L001_B3F_B7R_	P16_3_76_S1_L001_B4F_B7R_	P16_4_77_S1_L001_B5F_B7R_	P17_1_78_S1_L001_B6F_B7R_	P17_2_79_S1_L001_B7F_B7R_	P17_3_80_S1_L001_B8F_B7R_	P17_4_81_S1_L001_B9F_B7R_	P18_1_82_S1_L001_B10F_B7R_	P18_2_83_S1_L001_B11F_B7R_	P18_3_84_S1_L001_B12F_B7R_	P18_4_85_S1_L001_B1F_B8R_	P18_5_86_S1_L001_B2F_B8R_	P19_2_87_S1_L001_B4F_B8R_	P19_3_88_S1_L001_B5F_B8R_	P19_4_89_S1_L001_B6F_B8R_	P19_5_90_S1_L001_B7F_B8R_	P1_1_1_S1_L001_B1F_B1R_	P1_2_2_S1_L001_B2F_B1R_	P1_3_3_S1_L001_B3F_B1R_	P1_4_4_S1_L001_B4F_B1R_	P1_5_5_S1_L001_B5F_B1R_	P20_1_91_S1_L001_B8F_B8R_	P20_2_92_S1_L001_B9F_B8R_	P20_3_93_S1_L001_B10F_B8R_	P20_4_94_S1_L001_B11F_B8R_	P20_5_95_S1_L001_B12F_B8R_	P21_2_96_S1_L001_B2F_B9R_	P21_3_97_S1_L001_B3F_B9R_	P21_4_98_S1_L001_B4F_B9R_	P21_5_99_S1_L001_B5F_B9R_	P22_1_100_S1_L001_B6F_B9R_	P22_2_101_S1_L001_B7F_B9R_	P22_3_102_S1_L001_B8F_B9R_	P22_4_103_S1_L001_B9F_B9R_	P22_5_104_S1_L001_B10F_B9R_	P23_1_105_S1_L001_B11F_B9R_	P23_2_106_S1_L001_B12F_B9R_	P23_3_107_S1_L001_B1F_B10R_	P23_4_108_S1_L001_B2F_B10R_	P23_5_109_S1_L001_B3F_B10R_	P24_1_110_S1_L001_B4F_B10R_	P24_2_111_S1_L001_B5F_B10R_	P24_3_112_S1_L001_B6F_B10R_	P24_4_113_S1_L001_B7F_B10R_	P24_5_114_S1_L001_B8F_B10R_	P25_1_115_S1_L001_B9F_B10R_	P25_2_116_S1_L001_B10F_B10R_	P25_3_117_S1_L001_B11F_B10R_	P25_4_118_S1_L001_B12F_B10R_	P25_5_119_S1_L001_B1F_B11R_	P26_1_120_S1_L001_B2F_B11R_	P26_2_121_S1_L001_B3F_B11R_	P26_3_122_S1_L001_B4F_B11R_	P26_4_123_S1_L001_B5F_B11R_	P26_5_124_S1_L001_B6F_B11R_	P27_1_125_S1_L001_B7F_B11R_	P27_2_126_S1_L001_B8F_B11R_	P27_3_127_S1_L001_B9F_B11R_	P27_4_128_S1_L001_B10F_B11R_	P27_5_129_S1_L001_B11F_B11R_	P28_1_130_S1_L001_B12F_B11R_	P28_2_131_S1_L001_B1F_B12R_	P28_3_132_S1_L001_B2F_B12R_	P28_4_133_S1_L001_B3F_B12R_	P28_5_134_S1_L001_B4F_B12R_	P29_1_135_S1_L001_B5F_B12R_	P29_2_136_S1_L001_B6F_B12R_	P29_3_137_S1_L001_B7F_B12R_	P29_4_138_S1_L001_B8F_B12R_	P29_5_139_S1_L001_B9F_B12R_	P2_1_6_S1_L001_B6F_B1R_	P2_2_7_S1_L001_B7F_B1R_	P2_3_8_S1_L001_B8F_B1R_	P2_4_9_S1_L001_B9F_B1R_	P2_5_10_S1_L001_B10F_B1R_	P30_1_140_S1_L001_B10F_B12R_	P30_2_141_S1_L001_B11F_B12R_	P30_3_142_S1_L001_B12F_B12R_	P30_4_143_S1_L001_B1F_B13R_	P30_5_144_S1_L001_B2F_B13R_	P31_1_145_S1_L001_B3F_B13R_	P31_2_146_S1_L001_B4F_B13R_	P31_3_147_S1_L001_B5F_B13R_	P31_4_148_S1_L001_B6F_B13R_	P31_5_149_S1_L001_B7F_B13R_	P32_1_150_S1_L001_B8F_B13R_	P32_2_151_S1_L001_B9F_B13R_	P32_3_152_S1_L001_B10F_B13R_	P32_4_153_S1_L001_B11F_B13R_	P32_5_154_S1_L001_B12F_B13R_	P33_1_155_S1_L001_B1F_B14R_	P33_2_156_S1_L001_B2F_B14R_	P33_3_157_S1_L001_B3F_B14R_	P33_4_158_S1_L001_B4F_B14R_	P33_5_159_S1_L001_B5F_B14R_	P34_1_160_S1_L001_B6F_B14R_	P34_2_161_S1_L001_B7F_B14R_	P34_3_162_S1_L001_B8F_B14R_	P34_4_163_S1_L001_B9F_B14R_	P34_5_164_S1_L001_B10F_B14R_	P35_1_165_S1_L001_B11F_B14R_	P35_2_166_S1_L001_B12F_B14R_	P35_3_167_S1_L001_B1F_B15R_	P36_1_168_S1_L001_B2F_B15R_	P36_2_169_S1_L001_B3F_B15R_	P36_3_170_S1_L001_B4F_B15R_	P36_4_171_S1_L001_B5F_B15R_	P36_5_172_S1_L001_B6F_B15R_	P37_1_173_S1_L001_B7F_B15R_	P37_2_174_S1_L001_B8F_B15R_	P37_3_175_S1_L001_B9F_B15R_	P37_4_176_S1_L001_B10F_B15R_	P37_5_177_S1_L001_B11F_B15R_	P38_1_178_S1_L001_B12F_B15R_	P38_2_179_S1_L001_B1F_B16R_	P38_3_180_S1_L001_B2F_B16R_	P38_4_181_S1_L001_B3F_B16R_	P38_5_182_S1_L001_B4F_B16R_	P39_1_183_S1_L001_B5F_B16R_	P39_2_184_S1_L001_B6F_B16R_	P39_3_185_S1_L001_B7F_B16R_	P39_4_186_S1_L001_B8F_B16R_	P39_5_187_S1_L001_B9F_B16R_	P3_1_11_S1_L001_B11F_B1R_	P3_2_12_S1_L001_B12F_B1R_	P3_3_13_S1_L001_B1F_B2R_	P3_4_14_S1_L001_B2F_B2R_	P3_5_15_S1_L001_B3F_B2R_	P40_1_188_S1_L001_B10F_B16R_	P40_2_189_S1_L001_B11F_B16R_	P40_3_190_S1_L001_B12F_B16R_	P40_4_191_S1_L001_B1F_B17R_	P40_5_192_S1_L001_B2F_B17R_	P41_1_193_S1_L001_B3F_B17R_	P41_2_194_S1_L001_B4F_B17R_	P41_3_195_S1_L001_B5F_B17R_	P41_4_196_S1_L001_B6F_B17R_	P41_5_197_S1_L001_B7F_B17R_	P42_1_198_S1_L001_B8F_B17R_	P42_2_199_S1_L001_B9F_B17R_	P42_3_200_S1_L001_B10F_B17R_	P42_4_201_S1_L001_B11F_B17R_	P42_5_202_S1_L001_B12F_B17R_	P43_1_203_S1_L001_B1F_B18R_	P43_2_204_S1_L001_B2F_B18R_	P43_3_205_S1_L001_B3F_B18R_	P43_4_206_S1_L001_B4F_B18R_	P43_5_207_S1_L001_B5F_B18R_	P44_1_208_S1_L001_B6F_B18R_	P44_2_209_S1_L001_B7F_B18R_	P44_3_210_S1_L001_B8F_B18R_	P44_4_211_S1_L001_B9F_B18R_	P44_5_212_S1_L001_B10F_B18R_	P45_1_213_S1_L001_B11F_B18R_	P45_2_214_S1_L001_B12F_B18R_	P45_3_215_S1_L001_B1F_B19R_	P45_4_216_S1_L001_B2F_B19R_	P45_5_217_S1_L001_B3F_B19R_	P46_1_218_S1_L001_B4F_B19R_	P46_2_219_S1_L001_B5F_B19R_	P46_3_220_S1_L001_B6F_B19R_	P46_4_221_S1_L001_B7F_B19R_	P46_5_222_S1_L001_B8F_B19R_	P47_1_223_S1_L001_B9F_B19R_	P47_2_224_S1_L001_B10F_B19R_	P47_3_225_S1_L001_B11F_B19R_	P47_4_226_S1_L001_B12F_B19R_	P47_5_227_S1_L001_B1F_B20R_	P48_1_228_S1_L001_B2F_B20R_	P48_2_229_S1_L001_B3F_B20R_	P48_3_230_S1_L001_B4F_B20R_	P48_4_231_S1_L001_B5F_B20R_	P48_5_232_S1_L001_B6F_B20R_	P49_1_233_S1_L001_B7F_B20R_	P49_2_234_S1_L001_B8F_B20R_	P49_3_235_S1_L001_B9F_B20R_	P49_4_236_S1_L001_B10F_B20R_	P49_5_237_S1_L001_B11F_B20R_	P4_1_16_S1_L001_B4F_B2R_	P4_2_17_S1_L001_B5F_B2R_	P4_3_18_S1_L001_B6F_B2R_	P4_4_19_S1_L001_B7F_B2R_	P4_5_20_S1_L001_B8F_B2R_	P50_1_238_S1_L001_B12F_B20R_	P50_2_239_S1_L001_B1F_B21R_	P50_3_240_S1_L001_B2F_B21R_	P50_4_241_S1_L001_B3F_B21R_	P50_5_242_S1_L001_B4F_B21R_	P51_1_243_S1_L001_B5F_B21R_	P51_2_244_S1_L001_B6F_B21R_	P51_3_245_S1_L001_B7F_B21R_	P51_4_246_S1_L001_B8F_B21R_	P51_5_247_S1_L001_B9F_B21R_	P52_1_248_S1_L001_B10F_B21R_	P52_2_249_S1_L001_B11F_B21R_	P52_3_250_S1_L001_B12F_B21R_	P52_4_251_S1_L001_B1F_B22R_	P52_5_252_S1_L001_B2F_B22R_	P53_1_253_S1_L001_B3F_B22R_	P53_2_254_S1_L001_B4F_B22R_	P53_3_255_S1_L001_B5F_B22R_	P53_4_256_S1_L001_B6F_B22R_	P53_5_257_S1_L001_B7F_B22R_	P54_1_258_S1_L001_B8F_B22R_	P54_2_259_S1_L001_B9F_B22R_	P54_3_260_S1_L001_B10F_B22R_	P54_4_261_S1_L001_B11F_B22R_	P54_5_262_S1_L001_B12F_B22R_	P55_1_263_S1_L001_B1F_B23R_	P55_2_264_S1_L001_B2F_B23R_	P55_3_265_S1_L001_B3F_B23R_	P55_4_266_S1_L001_B4F_B23R_	P55_5_267_S1_L001_B5F_B23R_	P56_1_268_S1_L001_B6F_B23R_	P56_2_269_S1_L001_B7F_B23R_	P56_3_270_S1_L001_B8F_B23R_	P56_4_271_S1_L001_B9F_B23R_	P56_5_272_S1_L001_B10F_B23R_	P57_1_273_S1_L001_B11F_B23R_	P57_2_274_S1_L001_B12F_B23R_	P57_3_275_S1_L001_B1F_B24R_	P57_4_276_S1_L001_B2F_B24R_	P57_5_277_S1_L001_B3F_B24R_	P58_1_278_S1_L001_B4F_B24R_	P58_2_279_S1_L001_B5F_B24R_	P58_3_280_S1_L001_B6F_B24R_	P58_4_281_S1_L001_B7F_B24R_	P58_5_282_S1_L001_B8F_B24R_	P59_1_283_S1_L001_B9F_B24R_	P59_2_284_S1_L001_B10F_B24R_	P59_3_285_S1_L001_B11F_B24R_	P59_4_286_S1_L001_B12F_B24R_	P59_5_287_S1_L001_B13F_B1R_	P5_1_21_S1_L001_B9F_B2R_	P5_2_22_S1_L001_B10F_B2R_	P5_3_23_S1_L001_B11F_B2R_	P5_4_24_S1_L001_B12F_B2R_	P60_1_288_S1_L001_B14F_B1R_	P60_2_289_S1_L001_B15F_B1R_	P60_3_290_S1_L001_B16F_B1R_	P60_4_291_S1_L001_B17F_B1R_	P60_5_292_S1_L001_B18F_B1R_	P61_1_293_S1_L001_B19F_B1R_	P61_2_294_S1_L001_B20F_B1R_	P61_3_295_S1_L001_B21F_B1R_	P61_4_296_S1_L001_B22F_B1R_	P61_5_297_S1_L001_B23F_B1R_	P62_1_298_S1_L001_B24F_B1R_	P62_2_299_S1_L001_B13F_B2R_	P62_3_300_S1_L001_B14F_B2R_	P62_4_301_S1_L001_B15F_B2R_	P62_5_302_S1_L001_B16F_B2R_	P63_1_303_S1_L001_B17F_B2R_	P63_2_304_S1_L001_B18F_B2R_	P63_3_305_S1_L001_B19F_B2R_	P63_4_306_S1_L001_B20F_B2R_	P63_5_307_S1_L001_B21F_B2R_	P64_1_308_S1_L001_B22F_B2R_	P64_2_309_S1_L001_B23F_B2R_	P64_3_310_S1_L001_B24F_B2R_	P64_4_311_S1_L001_B13F_B3R_	P64_5_312_S1_L001_B14F_B3R_	P65_1_313_S1_L001_B15F_B3R_	P65_2_314_S1_L001_B16F_B3R_	P65_3_315_S1_L001_B17F_B3R_	P65_4_316_S1_L001_B18F_B3R_	P65_5_317_S1_L001_B19F_B3R_	P66_1_318_S1_L001_B20F_B3R_	P66_2_319_S1_L001_B21F_B3R_	P66_3_320_S1_L001_B22F_B3R_	P66_4_321_S1_L001_B23F_B3R_	P66_5_322_S1_L001_B24F_B3R_	P67_1_323_S1_L001_B13F_B4R_	P67_4_324_S1_L001_B16F_B4R_	P67_5_325_S1_L001_B17F_B4R_	P68_1_326_S1_L001_B18F_B4R_	P68_2_327_S1_L001_B19F_B4R_	P68_3_328_S1_L001_B20F_B4R_	P68_4_329_S1_L001_B21F_B4R_	P69_1_330_S1_L001_B22F_B4R_	P69_4_331_S1_L001_B13F_B5R_	P69_5_332_S1_L001_B14F_B5R_	P6_1_25_S1_L001_B1F_B3R_	P6_2_26_S1_L001_B2F_B3R_	P6_3_27_S1_L001_B3F_B3R_	P6_4_28_S1_L001_B4F_B3R_	P6_5_29_S1_L001_B5F_B3R_	P70_1_333_S1_L001_B15F_B5R_	P70_2_334_S1_L001_B16F_B5R_	P70_3_335_S1_L001_B17F_B5R_	P70_4_336_S1_L001_B18F_B5R_	P70_5_337_S1_L001_B19F_B5R_	P71_1_338_S1_L001_B20F_B5R_	P71_2_339_S1_L001_B21F_B5R_	P71_3_340_S1_L001_B22F_B5R_	P71_4_341_S1_L001_B23F_B5R_	P72_1_342_S1_L001_B24F_B5R_	P72_2_343_S1_L001_B13F_B6R_	P72_3_344_S1_L001_B14F_B6R_	P72_4_345_S1_L001_B15F_B6R_	P72_5_346_S1_L001_B16F_B6R_	P73_1_347_S1_L001_B17F_B6R_	P73_2_348_S1_L001_B18F_B6R_	P73_3_349_S1_L001_B19F_B6R_	P73_4_350_S1_L001_B20F_B6R_	P73_5_351_S1_L001_B21F_B6R_	P74_1_352_S1_L001_B22F_B6R_	P74_2_353_S1_L001_B23F_B6R_	P74_3_354_S1_L001_B24F_B6R_	P74_4_355_S1_L001_B13F_B7R_	P74_5_356_S1_L001_B14F_B7R_	P75_1_357_S1_L001_B15F_B7R_	P75_2_358_S1_L001_B16F_B7R_	P75_3_359_S1_L001_B17F_B7R_	P75_4_360_S1_L001_B18F_B7R_	P75_5_361_S1_L001_B19F_B7R_	P76_1_362_S1_L001_B20F_B7R_	P76_2_363_S1_L001_B21F_B7R_	P76_3_364_S1_L001_B22F_B7R_	P76_4_365_S1_L001_B23F_B7R_	P76_5_366_S1_L001_B24F_B7R_	P77_1_367_S1_L001_B13F_B8R_	P77_2_368_S1_L001_B14F_B8R_	P77_3_369_S1_L001_B15F_B8R_	P77_4_370_S1_L001_B16F_B8R_	P77_5_371_S1_L001_B17F_B8R_	P78_1_372_S1_L001_B18F_B8R_	P78_2_373_S1_L001_B19F_B8R_	P78_3_374_S1_L001_B20F_B8R_	P78_4_375_S1_L001_B21F_B8R_	P78_5_376_S1_L001_B22F_B8R_	P7_1_30_S1_L001_B6F_B3R_	P7_2_31_S1_L001_B7F_B3R_	P7_3_32_S1_L001_B8F_B3R_	P7_4_33_S1_L001_B9F_B3R_	P8_1_34_S1_L001_B10F_B3R_	P8_2_35_S1_L001_B11F_B3R_	P8_3_36_S1_L001_B12F_B3R_	P8_4_37_S1_L001_B1F_B4R_	P8_5_38_S1_L001_B2F_B4R_	P9_1_39_S1_L001_B3F_B4R_	P9_2_40_S1_L001_B4F_B4R_	P9_3_41_S1_L001_B5F_B4R_	P9_4_42_S1_L001_B6F_B4R_	P9_5_43_S1_L001_B7F_B4R_
ESL0184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	285	0	1	1	0	1122	3507	1619	804	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8782	685	5351	7825	3273	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3610	2187	3845	1995	4876	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1108	0	6	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8364	2331	3455	2011	3991	0	0	0	0	0	1	0	0	0	0	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	6623	5328	2224	4892	2631	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	6991	3351	1902	3088	1574	1741	3583	7259	7262	1758	6393	6101	2231	5304	1912	3710	6158	1736	3680	2718	5487	5335	373	9530	6259	0	0	2	0	0	13	4	1	7	13	0	1	0	0	0	1	0	0	0	0	17	0	1	7	2	9	6	3	4	0	0	0	0	0	0	4	2	1	4	1	23	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2535	7298	4097	6136	1890	0	0	0	0	0	0	0	0	0	0	1	1	1	0	5912	9359	6337	5924	5546	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	11	0	0	0	0	0	0	0	3	1	0	3	0	0	1	1	0	0	0	0	0	0
wkb8	1	0	12	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	3	4	2	0	6	9203	841	978	1902	6699	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	0	0	3	6	5	3	4	860	3342	8252	7002	4377	1	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	28	65	0	14	30	5728	4331	1135	4785	2039	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	543	0	0	0	26	1	1	0	1	4451	5451	17899	7385	7585	0	0	0	0	0	3	6	2	2	0	7	6	1	2	1	5	1	2	3	1	20	26	72	22	19	2	6	1	4	1	18	12	9	10	10	3388	4075	351	3840	1430	17930	1495	2397	1611	1158	1653	2823	7738	1305	9838	1029	1455	1957	759	2366	1	1	3	4	2	1357	2927	2703	2989	8311	7817	7167	1590	7963	4776	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2490	2198	20900	1461	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	2	11	10	3	5	109	3488	7202	2330	26	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	11	0	0	0	0	0	0	1
ESL0351	0	0	0	0	0	1848	12839	1486	3070	4079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	4	2	1	0	0	0	0	0	0	0	14	0	2572	1133	4071	3744	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	1	3	2	5	0	0	1	0	0	0	0	0	0	0	5129	5101	217	5061	13750	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	4	5	12	11	0	3	0	4	2	19877	2812	798	1083	3430	2	0	0	0	0	0	187	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	34	8	7	0	0	0	0	0	3590	1204	2792	655	2526	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	3	4	6	5	9	0	0	0	0	0	0	3	0	0	2	4543	3424	1457	2921	2517	0	0	0	0	0	0	0	0	26	0	9	3	8	2	4	1	0	0	0	2	290	2175	9304	978	1194	0	0	0	0	0	4	5	1	4	20	0	0	0	1	0	0	0	0	0	420	1765	49	564	4842	23	13	14	9	4	0	0	0	0	0	492	1632	1986	1296	3550	86	11	3	51	54	465	746	1342	448	415	1475	2035	1295	174	48	0	0	1	2045	0	0	4	0	1	930	0	1	0	0	0	864	874	1877	7	6665	0	0	0	26	0	0	0	0	34	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	13	20	11	18	2	0	0	1	0	0	595	2525	702	1514	2428	1	0	0	0	0	0	9	0	0	4	11	13	29	5
ESL0185	1791	1361	858	890	925	603	18175	506	3288	2103	10	3	3	5	2	4	9	2	0	1	4	3	3	1	2	1093	1	5	1	6	0	1	2	1	0	0	1	2	2	5	1	20	39	5	3	4	2	974	1022	5450	1034	92	2	3	2	209	200	2	3	5	9	1	2	3	2	0	1	4	2	3	1	11	2	1	2	2	1	2	2	0	0	3	1	2	0	3	1	1	0	0	1	2	30	0	13	22	2	0	1	0	3	1688	1244	2381	1134	710	6	3	0	2	7	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	40	0	0	2	0	0	0	0	0	0	0	0	1085	610	1015	7891	772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	2	0	0	0	0	3	0	1613	2179	1166	381	1641	0	0	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1690	1039	15780	662	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	25	0	0	0	0	1	0	0	0	0	1	0	0	0	29621	2486	14120	15	5	2	7	1179	0	3	181	578	1056	1590	625	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	27	0	0	0	30	0	0	0	0	0	0	6	1118	1849	239	452	1051	3137	7391	2038	661	290	1188	1805	1093	2187
ESL0261	2663	1815	1262	5117	1811	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2796	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	5	121	0	1	0	2	1745	3233	3653	0	0	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	6806	12452	6635	7925	9396	1	0	0	0	0	0	0	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	8198	6856	2345	2295	2597	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2247	3494	3985	1891	2960	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1963	3109	1812	1967	7128	3	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	2	0	1331	2802	3519	1559	1790	1	0	0	0	1	0	0	0	0	0	1	1	0	1	0	9395	6047	1463	879	2996	0	0	2	0	1	1	0	0	0	0	0	0	1	0	176	3912	3007	3553	2009	0	2	2	0	2	2033	1663	130	1846	3110	0	0	1	0	1	6124	11629	8208	2021	107	0	0	0	1	3	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5876	4568	4682	6927	6776	4729	9147	5600	4627	4231	0	0	2	1	0	0	17471	0	0	0	0	0	0	0
ESL0350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	1	1	2	2	3	3	0	1	2	2852	3761	2333	18755	21941	0	0	0	0	127	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	3	1	1	0	8984	5498	6531	5515	9846	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8209	1812	1640	1	0	0	0	0	0	3	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	5115	1052	1189	4181	2482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3579	5001	4897	1583	21637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	13	4576	324	324	2639	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1704	13557	2544	4820	964	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	7890	8913	6510	4977	3784	124	3530	3195	2001	3062	4551	8011	6005	6473	7015	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7128	7557	8273	9388	6496	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	3	0	0	2705	5528	2612	3504	1587	0	0	0	2	0
ESL0186	0	4	0	0	0	4	17	3	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	421	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	929	1168	2186	1026	16	0	0	0	2	0	2	0	0	0	4	2	3	5	0	0	1	1	0	0	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1241	955	1152	2958	2303	0	1	0	0	0	2	0	0	0	0	13	9	3	7	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1228	1857	2393	3296	6074	0	23	1	1	0	47	6	2	2	14	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	3974	1923	12317	5180	2590	0	0	0	0	0	16	3	7	3	10	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1130	1352	2789	2381	5023	0	0	0	0	0	0	0	0	1	1	7	8	4	9	4	0	0	0	0	0	0	0	0	0	0	2665	1767	3793	2538	1051	0	0	0	0	2	3	5	16	1	1	0	0	0	0	0	1759	2078	1306	2000	8401	0	0	0	0	1	0	0	2	0	0	9	0	1	15	8299	5430	3500	4497	3367	0	1	0	1	0	0	1	6	4	7	3428	2971	132	2137	3275	2129	3876	11595	3234	9152	4	1	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	4	5	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9438	6936	6336	10809	163	0	0	9	1	0	4	5	3	0	0	0	0	1	0	0	0	39	1	0	1399	6171	5814	10195	2194
