variable,CFUs
P2_65_8,8.25E+08
P2_65_9,7.50E+08
P2_65_10,8.20E+08
P3_1_1,4.85E+08
P3_1_2,1.01E+09
P3_1_3,1.04E+09
P3_1_4,2.50E+08
P3_1_5,8.75E+08
P3_1_6,1.30E+09
P3_1_7,1.35E+09
P3_1_8,8.10E+08
P3_7_1,4.15E+08
P3_7_2,8.30E+08
P3_7_3,1.07E+09
P3_7_4,1.06E+09
P3_7_5,6.70E+08
P3_7_6,4.95E+08
P3_7_7,3.80E+08
P3_7_8,4.30E+08
P3_11_1,4.15E+08
P3_11_2,5.65E+07
P3_11_3,7.55E+08
P3_11_4,3.65E+08
P3_11_5,4.75E+08
P3_11_6,8.00E+08
P3_11_7,3.90E+08
P3_11_8,5.10E+08
P3_11_9,8.85E+08
P3_11_10,7.00E+08
P3_13_1,5.25E+08
P3_13_2,6.10E+07
P3_13_3,7.40E+08
P3_13_4,3.55E+08
P3_13_5,3.70E+08
P3_13_6,5.20E+08
P3_13_7,6.60E+08
P3_13_8,7.85E+08
P3_13_9,8.95E+08
P3_31_1,5.60E+08
P3_31_2,7.60E+08
P3_31_3,6.20E+08
P3_31_4,6.75E+08
P3_31_5,3.45E+08
P3_31_6,7.00E+08
P3_31_7,6.75E+08
P3_31_8,9.45E+08
P3_31_9,1.01E+09
P3_43_1,1.58E+08
P3_43_2,4.85E+08
P3_43_4,1.41E+08
P3_43_5,3.35E+08
P3_43_6,5.80E+08
P3_43_7,8.80E+07
P3_43_8,3.60E+08
P3_43_9,2.30E+08
P3_43_10,5.90E+08
P3_57_1,7.65E+08
P3_57_2,8.20E+08
P3_57_3,1.11E+09
P3_57_4,4.55E+08
P3_57_5,9.25E+08
P3_57_6,1.30E+09
P3_57_7,1.33E+09
P3_57_8,1.23E+09
P3_57_9,7.85E+08
P3_57_10,1.29E+09
P3_65_1,7.60E+08
P3_65_2,1.20E+08
P3_65_3,6.90E+08
P3_65_4,5.15E+08
P3_65_5,6.70E+08
P3_65_6,1.04E+09
P3_65_7,4.25E+08
P3_65_8,4.05E+08
P3_65_9,9.80E+08
P3_65_10,4.00E+08
